Indicator,Group,State,Subgroup,Time Period Start Date,Time Period End Date,Value
Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-04-23,2020-05-05,33.4
Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-04-23,2020-05-05,34.9
Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-04-23,2020-05-05,34.7
Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-04-23,2020-05-05,33.9
Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-04-23,2020-05-05,33.7
Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-04-23,2020-05-05,35.0
Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-04-23,2020-05-05,34.3
Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-04-23,2020-05-05,31.1
Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2020-04-23,2020-05-05,31.0
Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-04-23,2020-05-05,33.3
Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-04-23,2020-05-05,28.6
Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-04-23,2020-05-05,27.3
Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-04-23,2020-05-05,35.2
Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-04-23,2020-05-05,36.4
Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-04-23,2020-05-05,38.0
Anxiety Disorder or Depressive Disorder,By State,California,California,2020-04-23,2020-05-05,37.4
Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-04-23,2020-05-05,35.9
Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-04-23,2020-05-05,40.2
Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-04-23,2020-05-05,34.7
Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-04-23,2020-05-05,37.6
Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2020-04-23,2020-05-05,36.8
Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2020-04-23,2020-05-05,36.2
Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2020-04-23,2020-05-05,37.0
Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2020-04-23,2020-05-05,33.3
Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2020-04-23,2020-05-05,36.6
Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2020-04-23,2020-05-05,37.8
Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2020-04-23,2020-05-05,28.2
Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2020-04-23,2020-05-05,32.5
Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2020-04-23,2020-05-05,36.4
Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2020-04-23,2020-05-05,38.9
Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2020-04-23,2020-05-05,34.3
Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2020-04-23,2020-05-05,32.9
Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2020-04-23,2020-05-05,40.6
Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2020-04-23,2020-05-05,39.4
Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-04-23,2020-05-05,32.4
Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2020-04-23,2020-05-05,34.5
Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-04-23,2020-05-05,30.3
Anxiety Disorder,By State,Kansas,Kansas,2020-04-23,2020-05-05,26.4
Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,2020-04-23,2020-05-05,36.7
Anxiety Disorder,By State,Indiana,Indiana,2020-04-23,2020-05-05,31.8
Depressive Disorder,By State,Florida,Florida,2020-04-23,2020-05-05,22.5
Depressive Disorder,By State,Georgia,Georgia,2020-04-23,2020-05-05,25.6
Depressive Disorder,By State,Hawaii,Hawaii,2020-04-23,2020-05-05,20.0
Depressive Disorder,By State,Idaho,Idaho,2020-04-23,2020-05-05,20.6
Depressive Disorder,By State,Illinois,Illinois,2020-04-23,2020-05-05,23.3
Depressive Disorder,By State,Indiana,Indiana,2020-04-23,2020-05-05,26.4
Depressive Disorder,By State,Iowa,Iowa,2020-04-23,2020-05-05,16.5
Depressive Disorder,By State,Kansas,Kansas,2020-04-23,2020-05-05,22.1
Depressive Disorder,By State,Kentucky,Kentucky,2020-04-23,2020-05-05,23.2
Depressive Disorder,By State,Louisiana,Louisiana,2020-04-23,2020-05-05,28.1
Depressive Disorder,By State,District of Columbia,District of Columbia,2020-04-23,2020-05-05,26.4
Depressive Disorder,By State,Maine,Maine,2020-04-23,2020-05-05,19.5
Depressive Disorder,By State,Massachusetts,Massachusetts,2020-04-23,2020-05-05,25.9
Depressive Disorder,By State,Michigan,Michigan,2020-04-23,2020-05-05,25.5
Depressive Disorder,By State,Minnesota,Minnesota,2020-04-23,2020-05-05,20.4
Depressive Disorder,By State,Mississippi,Mississippi,2020-04-23,2020-05-05,22.9
Depressive Disorder,By State,Missouri,Missouri,2020-04-23,2020-05-05,21.0
Depressive Disorder,By State,Montana,Montana,2020-04-23,2020-05-05,18.2
Depressive Disorder,By State,Nebraska,Nebraska,2020-04-23,2020-05-05,19.1
Depressive Disorder,By State,Nevada,Nevada,2020-04-23,2020-05-05,23.6
Depressive Disorder,By State,New Hampshire,New Hampshire,2020-04-23,2020-05-05,19.5
Depressive Disorder,By State,New Jersey,New Jersey,2020-04-23,2020-05-05,23.6
Depressive Disorder,By State,Maryland,Maryland,2020-04-23,2020-05-05,20.9
Depressive Disorder,By State,Delaware,Delaware,2020-04-23,2020-05-05,21.1
Depressive Disorder,By State,Connecticut,Connecticut,2020-04-23,2020-05-05,24.4
Depressive Disorder,By State,Colorado,Colorado,2020-04-23,2020-05-05,22.0
Anxiety Disorder,By State,Iowa,Iowa,2020-04-23,2020-05-05,22.5
Depressive Disorder,By Age,United States,30 - 39 years,2020-04-23,2020-05-05,25.7
Depressive Disorder,By Age,United States,40 - 49 years,2020-04-23,2020-05-05,24.8
Depressive Disorder,By Age,United States,50 - 59 years,2020-04-23,2020-05-05,23.2
Depressive Disorder,By Age,United States,60 - 69 years,2020-04-23,2020-05-05,18.4
Depressive Disorder,By Age,United States,70 - 79 years,2020-04-23,2020-05-05,13.6
Depressive Disorder,By Age,United States,80 years and above,2020-04-23,2020-05-05,14.4
Depressive Disorder,By Sex,United States,Male,2020-04-23,2020-05-05,20.8
Depressive Disorder,By Sex,United States,Female,2020-04-23,2020-05-05,26.1
Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,2020-05-05,29.4
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,2020-05-05,21.4
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,25.6
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,23.6
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,28.3
Depressive Disorder,By Education,United States,Less than a high school diploma,2020-04-23,2020-05-05,32.7
Depressive Disorder,By Education,United States,High school diploma or GED,2020-04-23,2020-05-05,25.4
Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,2020-05-05,25.6
Depressive Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,2020-05-05,17.6
Depressive Disorder,By State,Alabama,Alabama,2020-04-23,2020-05-05,18.6
Depressive Disorder,By State,Alaska,Alaska,2020-04-23,2020-05-05,19.2
Depressive Disorder,By State,Arizona,Arizona,2020-04-23,2020-05-05,22.4
Depressive Disorder,By State,Arkansas,Arkansas,2020-04-23,2020-05-05,26.6
Depressive Disorder,By State,California,California,2020-04-23,2020-05-05,25.4
Depressive Disorder,By State,New Mexico,New Mexico,2020-04-23,2020-05-05,22.4
Depressive Disorder,By State,New York,New York,2020-04-23,2020-05-05,28.7
Depressive Disorder,By Age,United States,18 - 29 years,2020-04-23,2020-05-05,32.7
Depressive Disorder,By State,North Dakota,North Dakota,2020-04-23,2020-05-05,17.0
Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,2020-05-05,36.3
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,2020-05-05,29.0
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,32.8
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,26.3
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,38.2
Anxiety Disorder,By Education,United States,Less than a high school diploma,2020-04-23,2020-05-05,37.3
Anxiety Disorder,By Education,United States,High school diploma or GED,2020-04-23,2020-05-05,30.6
Anxiety Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,2020-05-05,33.5
Anxiety Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,2020-05-05,27.0
Anxiety Disorder,By State,Alabama,Alabama,2020-04-23,2020-05-05,25.6
Anxiety Disorder,By State,Alaska,Alaska,2020-04-23,2020-05-05,27.7
Anxiety Disorder,By State,Arizona,Arizona,2020-04-23,2020-05-05,32.3
Anxiety Disorder,By State,Arkansas,Arkansas,2020-04-23,2020-05-05,33.7
Anxiety Disorder,By State,California,California,2020-04-23,2020-05-05,30.8
Anxiety Disorder,By State,Colorado,Colorado,2020-04-23,2020-05-05,32.6
Anxiety Disorder,By State,Connecticut,Connecticut,2020-04-23,2020-05-05,34.9
Anxiety Disorder,By State,Delaware,Delaware,2020-04-23,2020-05-05,29.9
Anxiety Disorder,By State,District of Columbia,District of Columbia,2020-04-23,2020-05-05,31.4
Anxiety Disorder,By State,Florida,Florida,2020-04-23,2020-05-05,32.6
Anxiety Disorder,By State,Georgia,Georgia,2020-04-23,2020-05-05,31.9
Anxiety Disorder,By State,Hawaii,Hawaii,2020-04-23,2020-05-05,32.3
Anxiety Disorder,By State,Idaho,Idaho,2020-04-23,2020-05-05,26.9
Depressive Disorder,By State,North Carolina,North Carolina,2020-04-23,2020-05-05,21.1
Anxiety Disorder,By Sex,United States,Female,2020-04-23,2020-05-05,35.4
Anxiety Disorder,By Sex,United States,Male,2020-04-23,2020-05-05,26.1
Anxiety Disorder,By State,Illinois,Illinois,2020-04-23,2020-05-05,31.1
Anxiety Disorder,By Age,United States,70 - 79 years,2020-04-23,2020-05-05,16.4
Anxiety Disorder,By Age,United States,80 years and above,2020-04-23,2020-05-05,14.6
Depressive Disorder,By State,Ohio,Ohio,2020-04-23,2020-05-05,21.2
Depressive Disorder,By State,Oklahoma,Oklahoma,2020-04-23,2020-05-05,20.8
Depressive Disorder,By State,Oregon,Oregon,2020-04-23,2020-05-05,22.5
Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,2020-05-05,24.7
Depressive Disorder,By State,Rhode Island,Rhode Island,2020-04-23,2020-05-05,24.5
Depressive Disorder,By State,South Carolina,South Carolina,2020-04-23,2020-05-05,21.6
Depressive Disorder,By State,Tennessee,Tennessee,2020-04-23,2020-05-05,22.2
Depressive Disorder,By State,Texas,Texas,2020-04-23,2020-05-05,24.4
Depressive Disorder,By State,Utah,Utah,2020-04-23,2020-05-05,22.9
Depressive Disorder,By State,Vermont,Vermont,2020-04-23,2020-05-05,20.7
Depressive Disorder,By State,South Dakota,South Dakota,2020-04-23,2020-05-05,17.5
Depressive Disorder,By State,Washington,Washington,2020-04-23,2020-05-05,22.1
Depressive Disorder,By State,West Virginia,West Virginia,2020-04-23,2020-05-05,23.4
Depressive Disorder,By State,Wisconsin,Wisconsin,2020-04-23,2020-05-05,22.0
Anxiety Disorder,By Age,United States,60 - 69 years,2020-04-23,2020-05-05,24.9
Depressive Disorder,By State,Wyoming,Wyoming,2020-04-23,2020-05-05,18.9
Anxiety Disorder,National Estimate,United States,United States,2020-04-23,2020-05-05,30.8
Anxiety Disorder,By Age,United States,18 - 29 years,2020-04-23,2020-05-05,40.2
Anxiety Disorder,By Age,United States,30 - 39 years,2020-04-23,2020-05-05,34.4
Anxiety Disorder,By Age,United States,40 - 49 years,2020-04-23,2020-05-05,34.1
Anxiety Disorder,By Age,United States,50 - 59 years,2020-04-23,2020-05-05,31.0
Depressive Disorder,By State,Virginia,Virginia,2020-04-23,2020-05-05,21.5
Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,2020-05-07,2020-05-12,47.4
Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2020-05-07,2020-05-12,34.4
Anxiety Disorder,By State,Wyoming,Wyoming,2020-05-07,2020-05-12,22.5
Anxiety Disorder,By State,Vermont,Vermont,2020-05-07,2020-05-12,31.8
Anxiety Disorder,By State,West Virginia,West Virginia,2020-05-07,2020-05-12,34.6
Anxiety Disorder,By State,Washington,Washington,2020-05-07,2020-05-12,28.5
Anxiety Disorder,By State,Virginia,Virginia,2020-05-07,2020-05-12,26.8
Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,2020-05-07,2020-05-12,39.3
Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-05-07,2020-05-12,25.6
Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,2020-05-07,2020-05-12,36.9
Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,2020-05-07,2020-05-12,42.5
Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,2020-05-07,2020-05-12,25.5
Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,2020-05-07,2020-05-12,19.8
Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,2020-05-07,2020-05-12,13.9
Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,2020-05-07,2020-05-12,31.4
Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,2020-05-07,2020-05-12,37.2
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-05-07,2020-05-12,40.3
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-05-07,2020-05-12,32.0
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-05-07,2020-05-12,38.8
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-05-07,2020-05-12,29.9
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-05-07,2020-05-12,45.9
Anxiety Disorder,By State,Louisiana,Louisiana,2020-05-07,2020-05-12,34.6
Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,2020-05-07,2020-05-12,35.5
Anxiety Disorder,By State,Utah,Utah,2020-05-07,2020-05-12,26.0
Anxiety Disorder,By State,New York,New York,2020-05-07,2020-05-12,33.0
Anxiety Disorder,By State,Tennessee,Tennessee,2020-05-07,2020-05-12,29.6
Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,2020-05-07,2020-05-12,37.8
Anxiety Disorder,By State,Maine,Maine,2020-05-07,2020-05-12,28.9
Anxiety Disorder,By State,Maryland,Maryland,2020-05-07,2020-05-12,30.1
Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-05-07,2020-05-12,28.7
Anxiety Disorder,By State,Michigan,Michigan,2020-05-07,2020-05-12,27.0
Anxiety Disorder,By State,Minnesota,Minnesota,2020-05-07,2020-05-12,22.9
Anxiety Disorder,By State,Mississippi,Mississippi,2020-05-07,2020-05-12,38.3
Anxiety Disorder,By State,Missouri,Missouri,2020-05-07,2020-05-12,37.8
Anxiety Disorder,By State,Montana,Montana,2020-05-07,2020-05-12,24.9
Anxiety Disorder,By State,Nebraska,Nebraska,2020-05-07,2020-05-12,29.6
Anxiety Disorder,By State,Nevada,Nevada,2020-05-07,2020-05-12,34.0
Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-05-07,2020-05-12,30.4
Anxiety Disorder,By State,New Jersey,New Jersey,2020-05-07,2020-05-12,36.3
Anxiety Disorder,By State,New Mexico,New Mexico,2020-05-07,2020-05-12,30.2
Anxiety Disorder,By State,North Carolina,North Carolina,2020-05-07,2020-05-12,25.9
Anxiety Disorder,By State,North Dakota,North Dakota,2020-05-07,2020-05-12,25.4
Anxiety Disorder,By State,Ohio,Ohio,2020-05-07,2020-05-12,26.4
Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-05-07,2020-05-12,27.2
Anxiety Disorder,By State,Oregon,Oregon,2020-05-07,2020-05-12,26.2
Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-05-07,2020-05-12,28.4
Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-05-07,2020-05-12,26.9
Anxiety Disorder,By State,South Carolina,South Carolina,2020-05-07,2020-05-12,27.9
Anxiety Disorder,By State,South Dakota,South Dakota,2020-05-07,2020-05-12,26.1
Anxiety Disorder,By State,Texas,Texas,2020-05-07,2020-05-12,32.4
Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-05-07,2020-05-12,36.2
Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-05-07,2020-05-12,27.2
Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-05-07,2020-05-12,30.6
Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-05-07,2020-05-12,35.0
Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-05-07,2020-05-12,39.6
Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-05-07,2020-05-12,39.8
Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-05-07,2020-05-12,36.9
Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-05-07,2020-05-12,28.1
Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-05-07,2020-05-12,28.6
Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-05-07,2020-05-12,32.8
Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-05-07,2020-05-12,31.0
Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-05-07,2020-05-12,29.9
Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-05-07,2020-05-12,32.0
Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-05-07,2020-05-12,38.1
Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-05-07,2020-05-12,33.8
Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-05-07,2020-05-12,29.8
Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-05-07,2020-05-12,34.7
Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-05-07,2020-05-12,35.9
Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-05-07,2020-05-12,30.4
Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-05-07,2020-05-12,35.7
Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-05-07,2020-05-12,30.6
Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-05-07,2020-05-12,35.0
Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-05-07,2020-05-12,39.0
Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-05-07,2020-05-12,29.7
Anxiety Disorder,By State,Kentucky,Kentucky,2020-05-07,2020-05-12,29.6
Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-05-07,2020-05-12,33.1
Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-05-07,2020-05-12,33.4
Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-05-07,2020-05-12,27.6
Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-05-07,2020-05-12,41.3
Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-05-07,2020-05-12,35.7
Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-05-07,2020-05-12,38.4
Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-05-07,2020-05-12,33.0
Anxiety Disorder or Depressive Disorder,By State,California,California,2020-05-07,2020-05-12,34.4
Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-05-07,2020-05-12,32.2
Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-05-07,2020-05-12,36.0
Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-05-07,2020-05-12,31.6
Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05-07,2020-05-12,40.6
